37595
(1,101,410155.9918849352)
(1,464,1423063.8813928126)
(1,1250,1871967.675868884)
(1,1737,1017452.7529857405)
(1,1901,769149.1268123647)
(1,2134,768899.9429061739)
(1,2138,1396998.8864929448)
(2,5,100062.69666293498)
(2,64,2511053.087523564)
(2,99,2229849.067550608)
(2,111,624974.0825957119)
(2,146,550266.5457528984)
(2,223,1845183.1577699878)
(2,314,156646.18594066458)
(2,576,238680.25059010513)
(2,1250,2220637.418519008)
(2,1625,929840.7860983844)
(2,2142,352923.62670212105)
(2,2266,2020851.971567198)
(2,2701,318213.30178100994)
(3,455,2601284.1735161897)
(3,2208,1885488.7803784097)
(4,704,1159790.0553801628)
(4,1605,1714788.8338424151)
(4,2706,1221921.5163185573)
(5,2,100062.69666293498)
(5,64,2461870.346715612)
(5,319,551165.266852151)
(5,576,147986.7554864954)
(5,995,182199.3398295341)
(5,2142,434623.1563883735)
(5,2266,1952930.1521203525)
(5,2681,836403.8425910196)
(6,2989,430635.89059365506)
(7,2287,110786.46951139747)
(8,2501,856111.9244123731)
(9,704,3371934.209197769)
(9,1200,885556.3788916108)
(9,2046,1746713.9688186485)
(9,2706,3380511.663667746)
(10,21,319062.05278719286)
(10,1674,372484.2229664343)
(11,1814,1245830.0393147925)
(11,2734,430706.818353358)
(11,2802,658825.4778558072)
(12,166,1115472.3500267658)
(12,544,774439.2930749513)
(12,735,682792.3627425755)
(12,1958,835717.9293188072)
(12,2129,1051997.7363394666)
(12,2214,1643879.9887906997)
(12,2224,88539.21513513778)
(12,2231,1566532.6969239914)
(12,2547,1424116.189830978)
(13,668,253757.77987914393)
(14,26,418612.3230845092)
(14,101,3575777.273875302)
(14,302,922944.3443771194)
(14,348,658519.6573184556)
(14,371,5143473.217633707)
(14,464,4911447.588957224)
(14,535,1172541.5959429038)
(14,553,3153451.7048237002)
(14,568,709837.7438745325)
(14,691,1822712.2461866047)
(14,692,1521305.2624398866)
(14,881,1090702.6333577232)
(14,1250,5159410.473681457)
(14,1587,1576884.8573604554)
(14,1616,582937.4293170114)
(14,1674,816174.6465683021)
(14,1984,4603774.511763429)
(14,2138,4877624.552348976)
(14,2153,833326.4822542102)
(14,2457,721413.752875296)
(14,2918,3802970.03880283)
(15,2152,207830.54032090094)
(15,2567,38802.8837675816)
(16,563,750883.5705822215)
(17,166,2041756.6474016819)
(17,416,2686548.806268806)
(17,561,371306.0785190075)
(17,643,933624.7430980519)
(17,667,563608.000288591)
(17,668,915347.4121371883)
(17,1125,1222660.9504433498)
(17,1168,1197697.6055996537)
(17,1294,2936365.4689615774)
(17,1565,98471.75156267543)
(17,1571,782428.566968551)
(17,1574,1089399.4464635204)
(17,1766,1156121.4694545968)
(17,1785,1803957.8509113314)
(17,1912,1579680.9794886415)
(17,2077,1429638.5661924686)
(17,2129,1798932.6739715033)
(17,2195,1789656.417451476)
(17,2228,528029.7928701007)
(17,2503,1010945.2081116643)
(17,2543,1900507.8019318145)
(17,2552,1441722.2625342854)
(17,2608,794784.3963127333)
(18,1912,413140.04648489197)
(19,160,215886.4941232321)
(20,706,1080910.9796471088)
(20,1291,300224.02681607456)
(20,2482,735134.2326915733)
(21,10,319062.05278719286)
(21,26,903938.9852542555)
(21,40,3468274.4148045746)
(21,331,351393.6645124665)
(21,438,3440825.942195849)
(21,449,464667.50408269785)
(21,464,4477637.52990243)
(21,568,614046.1744629722)
(21,804,283997.07155749254)
(21,891,4571210.566568897)
(21,979,424471.81568083796)
(21,1174,405809.7347318005)
(21,1207,311336.3417371735)
(21,1365,365770.7848005366)
(21,1616,734940.391542619)
(21,1627,4782234.6632098425)
(21,1674,512275.29426827136)
(21,1992,919235.1686340882)
(21,2006,745751.7088575495)
(21,2221,445906.6723144374)
